customer_city,total_revenue,grand_total_revenue,percent_contribution,cummulative_sum
sao paulo,2203373.09,16008872.12,13.7634498763177,13.7634498763177
rio de janeiro,1161927.36,16008872.12,7.25802137271367,21.0214712490314
belo horizonte,421765.120000001,16008872.12,2.63457111055992,23.6560423595913
brasilia,354216.78,16008872.12,2.21262795620357,25.8686703157948
curitiba,247392.48,16008872.12,1.54534609400078,27.4140164097956
porto alegre,224731.420000001,16008872.12,1.40379296127453,28.8178093710702
salvador,218071.5,16008872.12,1.36219152958041,30.1800009006506
campinas,216248.43,16008872.12,1.35080365674131,31.5308045573919
guarulhos,165121.99,16008872.12,1.03144049600916,32.562245053401
niteroi,139996.99,16008872.12,0.874496272758034,33.4367413261591
goiania,125494.6,16008872.12,0.783906567928784,34.2206478940878
sao bernardo do campo,120434.84,16008872.12,0.752300593678551,34.9729484877664
fortaleza,119863.47,16008872.12,0.748731510262072,35.7216799980285
santos,112343.17,16008872.12,0.701755683710214,36.4234356817387
recife,110745.23,16008872.12,0.691774093576805,37.1152097753155
florianopolis,106512.16,16008872.12,0.665332068378094,37.7805418436936
santo andre,105627.09,16008872.12,0.659803446540368,38.4403452902339
belem,96881.76,16008872.12,0.60517542568764,39.0455207159216
osasco,94358.7199999999,16008872.12,0.589415164870465,39.634935880792
jundiai,93038.6399999998,16008872.12,0.581169237299147,40.2161051180912
sao jose dos campos,91637.7499999999,16008872.12,0.572418527133565,40.7885236452248
sorocaba,88337.5,16008872.12,0.55180339587846,41.3403270411032
juiz de fora,75830.85,16008872.12,0.473680153302393,41.8140071944056
ribeirao preto,75798.71,16008872.12,0.473479389627356,42.287486584033
nova iguacu,71044.83,16008872.12,0.443784105884906,42.7312706899179
campo grande,67000.32,16008872.12,0.418519927561268,43.1497906174792
sao luis,64499.84,16008872.12,0.402900588601866,43.552691206081
joao pessoa,63353.63,16008872.12,0.395740746288127,43.9484319523691
vitoria,62926.26,16008872.12,0.393071164091477,44.3415031164606
sao goncalo,61852.97,16008872.12,0.386366819201002,44.7278699356616
teresina,60625.46,16008872.12,0.378699133490236,45.1065690691519
barueri,59969.68,16008872.12,0.374602779948997,45.4811718491009
piracicaba,59774.42,16008872.12,0.373383081281057,45.8545549303819
mogi das cruzes,59354.69,16008872.12,0.370761222621347,46.2253161530033
contagem,58947.1399999999,16008872.12,0.368215446773148,46.5935315997764
uberlandia,57103.35,16008872.12,0.356698145702971,46.9502297454794
vila velha,56443.68,16008872.12,0.352577493135725,47.3028072386151
londrina,54496.04,16008872.12,0.34041148927611,47.6432187278912
sao jose do rio preto,53976.56,16008872.12,0.337166538625583,47.9803852665168
maceio,53170.76,16008872.12,0.332133079716299,48.3125183462331
maua,48763.63,16008872.12,0.304603782418121,48.6171221286512
praia grande,47413.01,16008872.12,0.296167085629765,48.913289214281
cuiaba,47117.16,16008872.12,0.294319047880557,49.2076082621615
aracaju,46812.73,16008872.12,0.292417414850335,49.5000256770119
bauru,45175.83,16008872.12,0.282192459664672,49.7822181366765
maringa,45171.45,16008872.12,0.282165099835903,50.0643832365124
caxias do sul,44321.35,16008872.12,0.276854919370797,50.3412381558832
natal,43606.49,16008872.12,0.272389520467979,50.6136276763512
serra,42965.77,16008872.12,0.268387239762647,50.8820149161139
indaiatuba,42055.8,16008872.12,0.262703079172326,51.1447179952862
taboao da serra,41237.53,16008872.12,0.25759172595602,51.4023097212422
joinville,41030.38,16008872.12,0.25629775597208,51.6586074772143
duque de caxias,40276.37,16008872.12,0.251587805175122,51.9101952823894
campos dos goytacazes,40212.11,16008872.12,0.251186402755774,52.1613816851452
petropolis,39807.7,16008872.12,0.248660241031396,52.4100419261766
volta redonda,39114.51,16008872.12,0.24433020456909,52.6543721307457
divinopolis,38970.08,16008872.12,0.243428017338676,52.8978001480843
macae,38751.06,16008872.12,0.242059900969463,53.1398600490538
carapicuiba,37641.46,16008872.12,0.235128744347793,53.3749887934016
marilia,37493.97,16008872.12,0.234207442716458,53.6091962361181
santa maria,37336.83,16008872.12,0.233225862010321,53.8424220981284
sao caetano do sul,36936.64,16008872.12,0.230726060668914,54.0731481587973
cotia,36095.5,16008872.12,0.225471849168597,54.2986200079659
taubate,35299.0,16008872.12,0.220496483046427,54.5191164910123
sao carlos,35271.18,16008872.12,0.220322704407985,54.7394391954203
betim,34507.0,16008872.12,0.215549226337377,54.9549884217577
diadema,34301.2,16008872.12,0.214263689177374,55.1692521109351
guaruja,33837.55,16008872.12,0.211367482645617,55.3806195935807
uberaba,33426.95,16008872.12,0.208802654861859,55.5894222484425
feira de santana,32466.8,16008872.12,0.202805043082573,55.7922272915251
canoas,32014.76,16008872.12,0.199981358836665,55.9922086503618
nova friburgo,31738.41,16008872.12,0.198255128544309,56.1904637789061
montes claros,31546.54,16008872.12,0.197056605634251,56.3875203845403
presidente prudente,29988.07,16008872.12,0.187321566286582,56.5748419508269
blumenau,29278.17,16008872.12,0.182887150203559,56.7577291010305
porto velho,29253.63,16008872.12,0.182733860204013,56.9404629612345
suzano,29181.65,16008872.12,0.182284234524824,57.1227471957593
americana,28948.54,16008872.12,0.180828104459866,57.3035753002192
cascavel,28904.35,16008872.12,0.180552070023032,57.4841273702422
pelotas,27619.14,16008872.12,0.17252395917071,57.6566513294129
limeira,27236.59,16008872.12,0.170134346728731,57.8267856761416
santana de parnaiba,26814.8,16008872.12,0.16749962020435,57.994285296346
ipatinga,26176.78,16008872.12,0.163514205146889,58.1577995014929
manaus,25913.57,16008872.12,0.161870054340843,58.3196695558337
franca,25896.09,16008872.12,0.161760864887214,58.4814304207209
jaboatao dos guararapes,25672.86,16008872.12,0.160366450600394,58.6417968713213
valinhos,25660.62,16008872.12,0.160289992996708,58.802086864318
sumare,25162.78,16008872.12,0.157180217390605,58.9592670817086
sao jose,24581.31,16008872.12,0.153548043958015,59.1128151256667
governador valadares,24444.19,16008872.12,0.152691518907579,59.2655066445742
palmas,24281.2,16008872.12,0.151673395964387,59.4171800405386
pouso alegre,24195.41,16008872.12,0.151137505619603,59.5683175461582
atibaia,24181.1,16008872.12,0.151048117685882,59.7193656638441
sao vicente,24119.81,16008872.12,0.150665267479193,59.8700309313233
rio das ostras,23941.41,16008872.12,0.149550885412407,60.0195818167357
rio claro,23714.08,16008872.12,0.148130860326967,60.1677126770627
embu das artes,23321.16,16008872.12,0.145676471304088,60.3133891483668
barra mansa,23302.02,16008872.12,0.145556912600286,60.458946060967
nova lima,23287.83,16008872.12,0.145468274250916,60.604414335218
araraquara,23223.69,16008872.12,0.145067621415918,60.7494819566339
novo hamburgo,23086.84,16008872.12,0.144212782930269,60.8936947395641
braganca paulista,22916.41,16008872.12,0.143148185757386,61.0368429253215
campina grande,22783.29,16008872.12,0.142316646851946,61.1791595721735
ponta grossa,22282.28,16008872.12,0.139187069725934,61.3183466418994
sao joao de meriti,22184.56,16008872.12,0.138576658203701,61.4569233001031
itajai,22135.56,16008872.12,0.13827057792751,61.5951938780306
itaquaquecetuba,22052.57,16008872.12,0.137752177884222,61.7329460559148
gravatai,21719.36,16008872.12,0.135670769540759,61.8686168254556
jacarei,21660.84,16008872.12,0.135305222239479,62.0039220476951
angra dos reis,21654.73,16008872.12,0.135267055902999,62.1391891035981
